Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Total Percent,score,year,WordPercent,WordLogPercent,LetterPercent,Rep
2022-12-15 00:00:00,544,rival,22176,2127,0,7,27,35,22,8,1,100.0,1.97,2018,0.0009888733,-6.91894434374946,26.18,1.0
2022-12-14 00:00:00,543,usual,20824,2048,0,3,20,39,27,10,1,100.0,2.09,2018,0.0047536143,-5.348850045014074,24.099999999999998,1.5
2022-12-13 00:00:00,542,spoke,24101,2224,0,6,31,38,19,5,0,99.0,1.91,2018,0.0076541758,-4.872503923859851,29.169999999999998,1.0
2022-12-12 00:00:00,541,apply,22873,2150,0,5,28,38,22,7,1,101.0,1.9949999999999999,2018,0.0056833576,-5.170213094135115,18.0,1.5
2022-12-11 00:00:00,540,naive,21947,2075,1,7,24,32,24,11,1,100.0,2.01,2018,0.000377242,-7.8826236666379215,35.58,1.0
2022-12-10 00:00:00,539,knock,21157,2041,0,3,18,43,27,8,1,100.0,2.08,2018,0.0014856537,-6.511900401567757,18.54,1.5
2022-12-09 00:00:00,538,braid,23640,2165,0,10,36,35,14,3,0,98.0,1.78,2018,0.0002078636,-8.478628462604414,27.0,1.0
2022-12-08 00:00:00,537,infer,21199,1863,0,3,19,33,26,14,3,98.0,2.06,2018,0.0004181947,-7.7795634444120765,34.599999999999994,1.0
2022-12-07 00:00:00,536,joust,24899,2388,0,6,29,34,21,8,2,100.0,1.95,2019,2.17619e-05,-10.735349823611898,25.85,1.0
2022-12-06 00:00:00,535,amber,23509,2261,0,6,22,33,24,12,3,100.0,2.025,2019,0.0007802996,-7.15583260946504,30.799999999999997,1.0
2022-12-05 00:00:00,534,woken,23153,2200,0,2,10,25,36,23,4,100.0,2.28,2019,0.0002725962,-8.207518978637594,30.069999999999997,1.0
2022-12-04 00:00:00,533,adore,25577,2398,2,17,32,29,15,5,1,101.0,1.7699999999999998,2019,0.0002040987,-8.49690685759551,38.7,1.0
2022-12-03 00:00:00,532,torso,23873,2260,0,4,35,36,17,6,1,99.0,1.8949999999999998,2019,0.0004029209,-7.816770293198255,36.400000000000006,1.5
2022-12-02 00:00:00,531,chafe,24646,2343,0,6,30,33,19,9,2,99.0,1.925,2019,3.59696e-05,-10.232836420696666,31.999999999999996,1.0
2022-12-01 00:00:00,530,eject,22628,2200,0,2,11,35,36,14,2,100.0,2.215,2019,4.88737e-05,-9.926271138477963,37.449999999999996,1.5
2022-11-30 00:00:00,529,study,25569,2405,0,6,30,33,19,10,2,100.0,1.955,2019,0.0260324741,-3.648410516470926,24.5,1.0
2022-11-29 00:00:00,528,undue,23739,2316,0,3,19,35,29,13,2,101.0,2.1399999999999997,2019,0.00030376,-8.099272642040727,29.3,1.5
2022-11-28 00:00:00,527,tepid,26051,2484,0,10,38,35,13,3,0,99.0,1.785,2019,6.77599e-05,-9.599539983418495,34.99999999999999,1.0
2022-11-27 00:00:00,526,happy,25206,2356,0,6,28,39,19,6,1,99.0,1.92,2019,0.0095377342,-4.652499326971869,20.099999999999998,1.5
2022-11-26 00:00:00,525,clean,26381,2424,1,17,36,31,12,3,0,100.0,1.725,2019,0.0050269821,-5.292935455049871,34.4,1.0
2022-11-25 00:00:00,524,itchy,24197,2329,0,8,28,40,18,5,1,100.0,1.9049999999999998,2018,8.93916e-05,-9.322483839930841,27.0,1.0
2022-11-24 00:00:00,523,feast,27705,2725,5,13,25,27,19,10,2,101.0,1.855,2018,0.0011059499,-6.807050675280509,38.5,1.0
2022-11-23 00:00:00,522,drive,26663,2451,1,12,32,30,18,6,1,100.0,1.8399999999999999,2018,0.0067671319,-4.99567793027135,30.98,1.0
2022-11-22 00:00:00,521,prime,27437,2534,1,10,26,32,21,9,1,100.0,1.9349999999999998,2018,0.0030978435,-5.777049054725693,30.0,1.0
2022-11-21 00:00:00,520,axiom,24288,2382,0,5,19,33,27,13,3,100.0,2.075,2018,0.0001992856,-8.520771586240988,25.25,1.0
2022-11-20 00:00:00,519,brave,24991,2396,1,6,17,27,27,18,5,101.0,2.1,2018,0.0015565331,-6.465294302648587,29.38,1.0
2022-11-19 00:00:00,518,avert,24749,2400,0,7,26,35,22,9,1,100.0,1.9849999999999999,2018,0.0001699719,-8.679877428694239,36.98,1.0
2022-11-18 00:00:00,517,glyph,29208,2899,0,2,23,49,20,5,1,100.0,2.0,2018,3.11644e-05,-10.376234140255226,16.0,1.0
2022-11-17 00:00:00,516,there,27465,2530,0,14,35,33,14,4,0,100.0,1.795,2018,0.175985174,-1.737355526128622,46.599999999999994,1.5
2022-11-16 00:00:00,515,baker,25576,2541,0,5,16,23,24,22,10,100.0,2.0599999999999996,2018,0.0013731121,-6.590675509498569,29.169999999999998,1.0
2022-11-15 00:00:00,514,snarl,27475,2650,0,5,21,31,24,15,4,100.0,2.055,2018,0.0001488463,-8.812596328050267,31.2,1.0
2022-11-14 00:00:00,513,maple,26536,2467,1,6,26,36,21,8,1,99.0,1.9449999999999998,2018,0.0004414766,-7.7253855404573715,29.2,1.0
2022-11-13 00:00:00,512,inane,25085,2515,0,8,25,30,21,13,3,100.0,1.9849999999999999,2019,4.5548e-05,-9.996743843015915,41.3,1.5
2022-11-12 00:00:00,511,valet,24660,2356,0,4,22,38,25,9,1,99.0,2.03,2019,0.0002060452,-8.487414995767459,34.98,1.0
2022-11-11 00:00:00,510,medal,25993,2438,0,5,25,38,23,8,1,100.0,2.005,2019,0.0004282843,-7.755723330563964,31.599999999999998,1.0
2022-11-10 00:00:00,509,unite,27467,2575,1,11,31,33,18,5,1,100.0,1.845,2019,0.000454355,-7.696631727151434,38.3,1.0
2022-11-09 00:00:00,508,rainy,28984,2678,1,16,38,31,11,3,1,101.0,1.7249999999999999,2019,0.0003359313,-7.998603883192456,29.9,1.0
2022-11-08 00:00:00,507,spell,27213,2531,0,4,24,37,24,9,1,99.0,2.0149999999999997,2019,0.0014231668,-6.554870749596942,28.9,1.5
2022-11-07 00:00:00,506,begin,26096,2439,0,6,26,36,23,7,1,99.0,1.96,2019,0.007079925,-4.950491964552956,29.9,1.0
2022-11-06 00:00:00,505,stale,31068,3013,2,19,30,27,15,6,2,101.0,1.7550000000000001,2019,0.0002671946,-8.227533326086839,40.3,1.0
2022-11-05 00:00:00,504,dream,29743,2751,5,14,31,29,15,4,1,99.0,1.71,2019,0.0053573079,-5.229293687535642,33.6,1.0
2022-11-04 00:00:00,503,photo,27330,2565,0,5,34,43,15,3,0,100.0,1.885,2019,0.0028044935,-5.876532326722259,32.1,1.5
2022-11-03 00:00:00,502,aloud,29554,2819,1,18,31,30,15,4,1,100.0,1.75,2019,0.0011590516,-6.760153194476646,26.8,1.0
2022-11-02 00:00:00,501,inept,27670,2640,0,6,30,39,20,6,1,102.0,1.9749999999999999,2019,8.04423e-05,-9.427970400728658,37.4,1.0
2022-11-01 00:00:00,500,piney,27502,3667,0,1,14,37,33,14,2,101.0,2.215,2019,2.06205e-05,-10.789224831366827,30.3,1.0
2022-10-31 00:00:00,499,aptly,26498,2572,0,3,26,41,23,7,1,101.0,2.03,2019,0.0002041274,-8.496766249241233,25.2,1.0
2022-10-30 00:00:00,498,waltz,24672,2496,0,2,11,29,35,19,3,99.0,2.225,2019,0.0001968707,-8.53296338989274,23.774,1.0
2022-10-29 00:00:00,497,libel,25156,2536,0,3,15,32,32,16,2,100.0,2.1849999999999996,2019,0.0001552674,-8.77036176613619,29.2,1.5
2022-10-28 00:00:00,496,sneak,27905,2636,0,7,28,36,21,7,1,100.0,1.95,2019,0.0004404847,-7.727634846448915,34.67,1.0
2022-10-27 00:00:00,495,carry,27609,2615,0,4,22,35,24,12,3,100.0,2.045,2019,0.0057340729,-5.161329197963828,25.0,1.5
2022-10-26 00:00:00,494,flout,30063,2904,0,6,28,37,21,7,1,100.0,1.96,2019,2.27214e-05,-10.69220334629143,25.6,1.0
2022-10-25 00:00:00,493,foggy,28953,2817,0,2,13,35,32,15,3,100.0,2.18,2019,0.0001374308,-8.892390040269147,15.7,1.5
2022-10-24 00:00:00,492,fault,28947,2768,0,7,27,35,22,8,1,100.0,1.97,2019,0.0031148481,-5.771574891976669,26.299999999999997,1.0
2022-10-23 00:00:00,491,mummy,29279,3021,0,1,4,14,27,37,18,101.0,2.2249999999999996,2019,0.0003685455,-7.905946380415729,12.0,1.5
2022-10-22 00:00:00,490,spiel,29084,2810,0,7,32,36,19,6,1,101.0,1.93,2019,3.81086e-05,-10.17507057951817,31.9,1.0
2022-10-21 00:00:00,489,grove,28637,2794,0,4,18,30,28,17,3,100.0,2.1350000000000002,2019,0.0007521227,-7.192611082430761,29.18,1.0
2022-10-20 00:00:00,488,denim,28741,2769,0,5,29,40,20,5,0,99.0,1.935,2019,0.0001508195,-8.799426800405454,33.1,1.0
2022-10-19 00:00:00,487,quirk,28322,2794,0,3,23,39,24,9,2,100.0,2.0349999999999997,2019,9.32629e-05,-9.280088171206533,16.665,1.0
2022-10-18 00:00:00,486,exist,28612,2805,0,5,24,38,23,8,1,99.0,1.99,2019,0.0052774127,-5.2443193203018765,35.25,1.0
2022-10-17 00:00:00,485,stein,31269,2965,1,12,34,32,16,5,1,101.0,1.8299999999999998,2019,0.0005113114,-7.578531760018915,41.8,1.0
2022-10-16 00:00:00,484,spade,30459,2854,1,8,29,36,19,6,1,100.0,1.9,2019,0.0001876441,-8.580963474390995,33.4,1.0
2022-10-15 00:00:00,483,catch,30403,3123,0,7,18,20,15,16,23,99.0,1.71,2019,0.0041101406,-5.494298041813375,29.0,1.5
2022-10-14 00:00:00,482,floor,28906,2752,0,3,23,44,24,6,0,100.0,2.035,2019,0.01036508,-4.569312814841497,27.2,1.5
2022-10-13 00:00:00,481,equal,27197,2677,0,5,23,35,25,11,2,101.0,2.0599999999999996,2019,0.0068611707,-4.9818771958277415,27.794999999999998,1.0
2022-10-12 00:00:00,480,ionic,29151,2947,0,2,13,25,28,21,11,100.0,2.1,2019,0.0005037963,-7.593338538256933,31.0,1.5
2022-10-11 00:00:00,479,valid,28575,2752,0,4,28,38,21,8,1,100.0,1.99,2019,0.0022391374,-6.101664576566822,24.48,1.0
2022-10-10 00:00:00,478,enjoy,26878,2654,0,3,12,29,33,20,3,100.0,2.23,2019,0.0041490092,-5.484885720232081,29.049999999999997,1.0
2022-10-09 00:00:00,477,howdy,28408,2668,0,2,13,32,32,17,4,100.0,2.185,2019,3.67405e-05,-10.211630869124551,22.3,1.0
2022-10-08 00:00:00,476,vigor,26905,2642,0,2,15,35,31,14,2,99.0,2.15,2019,0.0002385083,-8.34110644740284,23.48,1.0
2022-10-07 00:00:00,475,dandy,29026,2840,0,2,11,23,29,24,11,100.0,2.145,2019,0.0001293181,-8.953235297451286,25.5,1.5
2022-10-06 00:00:00,474,sloth,32522,2987,1,10,38,34,13,3,0,99.0,1.77,2019,8.19826e-05,-9.409003528338543,33.0,1.0
2022-10-05 00:00:00,473,marsh,30935,2885,0,9,30,35,19,6,1,100.0,1.9,2019,0.0006079908,-7.405350807691538,29.0,1.0
2022-10-04 00:00:00,472,bough,32014,3060,0,3,17,35,28,13,3,99.0,2.0900000000000003,2019,9.3682e-05,-9.275604489628579,19.9,1.0
2022-10-03 00:00:00,471,sting,32288,2969,1,10,30,33,18,8,2,102.0,1.915,2019,0.0004343603,-7.74163618394448,31.099999999999998,1.0
2022-10-02 00:00:00,470,twine,30088,2775,0,6,28,40,20,5,1,100.0,1.9349999999999998,2019,0.0001068255,-9.144313895892834,37.9,1.0
2022-10-01 00:00:00,469,leave,28202,2696,0,4,16,34,31,12,1,98.0,2.1,2019,0.0158832268,-4.142491644812822,38.58,1.5
2022-09-30 00:00:00,468,scorn,31223,2859,0,8,31,35,20,6,1,101.0,1.93,2019,0.0003907678,-7.847397036277309,29.3,1.0
2022-09-29 00:00:00,467,scald,30477,2829,0,4,23,36,24,11,2,100.0,2.045,2019,2.51286e-05,-10.591503918267057,25.599999999999998,1.0
2022-09-28 00:00:00,466,usurp,31355,3007,0,3,21,38,26,9,1,98.0,2.03,2019,5.60551e-05,-9.789175422398129,19.799999999999997,1.5
2022-09-27 00:00:00,465,soggy,30985,2888,0,2,18,38,28,11,2,99.0,2.09,2019,9.04353e-05,-9.310875880060578,19.8,1.5
2022-09-26 00:00:00,464,brisk,31706,2884,0,5,23,38,24,7,1,98.0,1.97,2018,0.0002851737,-8.162412089665068,21.57,1.0
2022-09-25 00:00:00,463,admit,28994,2677,0,10,25,34,22,8,1,100.0,1.95,2018,0.0028124794,-5.873688835922867,31.0,1.0
2022-09-24 00:00:00,462,grate,32777,3077,1,14,29,28,16,8,3,99.0,1.795,2018,0.0001997784,-8.518301805702032,38.0,1.0
2022-09-23 00:00:00,461,glory,31509,2893,0,6,30,39,19,5,0,99.0,1.915,2018,0.0027846277,-5.883641094969795,21.5,1.0
2022-09-22 00:00:00,460,saint,34455,3119,1,14,35,29,15,5,1,100.0,1.7799999999999998,2018,0.002556743,-5.969021096132687,37.3,1.0
2022-09-21 00:00:00,459,recap,31976,2900,0,5,30,35,21,8,1,100.0,1.97,2018,7.41526e-05,-9.509385425935724,31.599999999999998,1.0
2022-09-20 00:00:00,458,alike,31277,2843,0,6,20,33,27,12,2,100.0,2.065,2018,0.0014177567,-6.558679445283384,32.67,1.0
2022-09-19 00:00:00,457,trice,35050,3430,0,5,24,25,18,17,11,100.0,1.925,2018,2.9928e-05,-10.41671606091843,37.6,1.0
2022-09-18 00:00:00,456,stick,33102,3038,1,9,36,35,14,4,0,99.0,1.805,2018,0.0028027921,-5.877139180081829,25.97,1.0
2022-09-17 00:00:00,455,chute,33418,3073,0,11,37,36,12,3,0,99.0,1.775,2018,0.0001155166,-9.066096315385856,33.5,1.0
2022-09-16 00:00:00,454,parer,37309,4130,0,0,4,11,15,22,48,100.0,1.555,2018,3.0929e-06,-12.68640139585416,34.8,1.5
2022-09-15 00:00:00,453,doubt,33344,3011,1,12,32,34,16,4,0,99.0,1.805,2018,0.0072695111,-4.924066238666385,25.200000000000003,1.0
2022-09-14 00:00:00,452,thyme,32142,2938,1,5,24,41,23,5,0,99.0,1.96,2019,0.0002385955,-8.340740908495075,32.3,1.0
2022-09-13 00:00:00,451,alpha,29497,2706,0,3,19,40,28,9,1,100.0,2.09,2019,0.0012179309,-6.710601843651884,28.4,1.5
2022-09-12 00:00:00,450,booze,29147,2883,0,1,7,27,38,23,4,100.0,2.315,2019,0.0001857357,-8.591185862525073,29.274,1.5
2022-09-11 00:00:00,449,tibia,27887,2675,0,1,14,40,30,12,2,99.0,2.1399999999999997,2019,0.0001332712,-8.923124408136145,32.8,1.5
2022-09-10 00:00:00,448,lofty,29237,2777,0,4,19,34,27,13,3,100.0,2.085,2019,0.0004813315,-7.638954336051132,24.799999999999997,1.0
2022-09-09 00:00:00,447,theme,32172,2909,0,8,29,40,18,4,0,99.0,1.885,2019,0.0025118287,-5.986744225376571,43.0,1.5
2022-09-08 00:00:00,446,class,31962,3001,0,4,21,32,22,13,7,99.0,1.97,2019,0.0159771113,-4.136598124696962,27.6,1.5
2022-09-07 00:00:00,445,leery,30992,2873,0,3,17,37,28,12,2,99.0,2.0949999999999998,2019,3.17434e-05,-10.35782572825012,37.4,1.5
2022-09-06 00:00:00,444,taunt,32734,3022,0,4,19,27,21,16,13,100.0,1.935,2019,0.0001017494,-9.192997630464852,35.9,1.5
2022-09-05 00:00:00,443,whoop,32733,2970,0,1,16,47,29,7,1,101.0,2.13,2019,8.14137e-05,-9.415966994449116,25.4,1.5
2022-09-04 00:00:00,442,inter,32018,2889,0,6,25,36,23,8,1,99.0,1.9749999999999999,2019,0.0018319744,-6.302360986626959,41.5,1.0
2022-09-03 00:00:00,441,gully,31191,2877,0,1,9,27,31,25,7,100.0,2.245,2019,0.0001268995,-8.972115123362018,14.8,1.5
2022-09-02 00:00:00,440,charm,35724,3149,1,12,32,34,16,5,1,101.0,1.8399999999999999,2019,0.0010378844,-6.870570868455733,25.499999999999996,1.0
2022-09-01 00:00:00,439,fungi,31903,2928,0,2,18,41,28,9,1,99.0,2.085,2019,0.000549071,-7.5072827987692765,20.7,1.0
2022-08-31 00:00:00,438,prize,35343,3166,0,5,12,20,32,26,5,100.0,2.235,2019,0.0014156238,-6.560184996975354,27.674,1.0
2022-08-30 00:00:00,437,onset,33660,3009,0,4,29,40,21,6,1,101.0,1.9849999999999999,2019,0.001462552,-6.5275724239347905,42.300000000000004,1.0
2022-08-29 00:00:00,436,chief,34281,3072,1,6,32,38,18,5,0,100.0,1.905,2019,0.0064960582,-5.036559716803289,30.799999999999997,1.0
2022-08-28 00:00:00,435,gauze,30214,2866,0,2,11,24,31,25,8,101.0,2.23,2019,0.0001690936,-8.68505815020353,25.774,1.0
2022-08-27 00:00:00,434,ruder,31241,2784,0,2,16,33,29,16,4,100.0,2.145,2019,1.79705e-05,-10.926779033404529,31.8,1.5
2022-08-26 00:00:00,433,irony,34716,3046,0,6,29,34,21,8,1,99.0,1.9449999999999998,2019,0.0007623692,-7.179079605181151,29.2,1.0
2022-08-25 00:00:00,432,clown,36737,3175,1,8,29,36,20,6,1,101.0,1.9249999999999998,2019,0.00025086,-8.290615543367744,23.4,1.0
2022-08-24 00:00:00,431,needy,33700,2927,0,2,21,41,26,9,1,100.0,2.08,2019,0.0003479316,-7.9635046492327595,38.39999999999999,1.5
2022-08-23 00:00:00,430,woven,33549,2933,0,2,13,32,32,17,3,99.0,2.18,2019,0.0005125548,-7.5761029258387085,30.279999999999998,1.0
2022-08-22 00:00:00,429,merit,35888,3123,0,7,33,37,17,5,0,99.0,1.88,2019,0.0010033927,-6.9043683212046885,37.2,1.0
2022-08-21 00:00:00,428,waste,35617,3186,1,7,19,27,24,17,5,100.0,2.0349999999999997,2018,0.0041859486,-5.476021934059039,38.7,1.0
2022-08-20 00:00:00,427,treat,38245,3249,1,22,32,26,14,5,1,101.0,1.73,2018,0.0033906826,-5.686724020927211,45.1,1.5
2022-08-19 00:00:00,426,shrug,33965,2987,0,4,23,36,26,10,1,100.0,2.06,2018,0.0005179028,-7.565722978099922,23.2,1.0
2022-08-18 00:00:00,425,twang,34938,3172,0,3,22,43,25,7,1,101.0,2.06,2018,4.45495e-05,-10.018909627454994,28.4,1.0
2022-08-17 00:00:00,424,twice,35815,3173,1,6,28,38,21,6,1,101.0,1.9549999999999998,2018,0.0037656845,-5.5818256281461105,34.0,1.0
2022-08-16 00:00:00,423,gruel,35105,3087,0,3,19,39,29,9,1,100.0,2.0949999999999998,2018,4.1586e-05,-10.087746985800372,27.5,1.0
2022-08-15 00:00:00,422,poker,35376,3180,0,4,17,30,27,17,5,100.0,2.105,2018,0.0003465889,-7.96737120658509,28.869999999999997,1.0
2022-08-14 00:00:00,421,khaki,31652,2968,0,2,17,33,28,16,4,100.0,2.1350000000000002,2018,0.000131933,-8.93321633999566,22.839999999999996,1.5
2022-08-13 00:00:00,420,hunky,35276,3185,0,1,11,33,25,22,7,99.0,2.1550000000000002,2018,2.73024e-05,-10.50853594754949,18.369999999999997,1.0
2022-08-12 00:00:00,419,label,34198,3076,0,4,18,32,29,15,2,100.0,2.135,2018,0.0018857175,-6.273446893901124,30.4,1.5
2022-08-11 00:00:00,418,glean,37301,3243,0,6,23,37,24,8,1,99.0,1.99,2018,8.61436e-05,-9.359494886780663,33.6,1.0
2022-08-10 00:00:00,417,cling,37654,3312,0,4,20,34,27,13,2,100.0,2.0949999999999998,2018,0.0003418072,-7.981263722554384,22.5,1.0
2022-08-09 00:00:00,416,patty,36223,3019,0,2,16,39,29,12,1,99.0,2.13,2019,0.0003601277,-7.92905186719095,30.299999999999997,1.5
2022-08-08 00:00:00,415,unfit,35516,3187,0,3,24,38,25,9,1,100.0,2.05,2019,0.000231883,-8.369277623850023,27.799999999999997,1.0
2022-08-07 00:00:00,414,smear,36223,3190,0,2,16,39,29,12,2,100.0,2.135,2019,0.0002265635,-8.392485299131918,35.599999999999994,1.0
2022-08-06 00:00:00,413,alien,38841,3395,3,17,31,29,15,4,0,99.0,1.725,2019,0.0012632411,-6.674074559136687,38.6,1.0
2022-08-05 00:00:00,412,buggy,37350,3428,0,1,9,29,34,22,5,100.0,2.26,2019,0.000204668,-8.49412140384848,10.3,1.5
2022-08-04 00:00:00,411,rhyme,37229,3336,0,4,22,39,25,8,1,99.0,2.02,2019,0.000315574,-8.061117355149193,29.2,1.0
2022-08-03 00:00:00,410,youth,38381,3327,1,5,17,31,29,15,3,101.0,2.12,2019,0.0053648204,-5.227892379694673,27.5,1.0
2022-08-02 00:00:00,409,coyly,34909,3380,0,0,4,17,28,35,15,99.0,2.225,2019,4.15117e-05,-10.089535242750927,18.3,1.5
2022-08-01 00:00:00,408,quart,36662,3303,0,5,20,33,27,13,2,100.0,2.085,2019,0.0001717495,-8.669473538074204,26.195,1.0
2022-07-31 00:00:00,407,cramp,39250,3369,1,8,26,33,19,10,2,99.0,1.92,2019,8.08846e-05,-9.422487110487545,21.299999999999997,1.0
2022-07-30 00:00:00,406,bluff,37353,3171,0,2,14,42,31,10,1,100.0,2.15,2019,0.0003259739,-8.02869324115234,12.7,1.5
2022-07-29 00:00:00,405,upset,37791,3213,0,5,30,38,20,6,1,100.0,1.9449999999999998,2019,0.0018814837,-6.275694611268867,32.8,1.0
2022-07-28 00:00:00,404,stomp,40650,3490,0,7,26,32,21,11,2,99.0,1.965,2019,7.78033e-05,-9.46132671122704,27.199999999999996,1.0
2022-07-27 00:00:00,403,motto,38384,3285,0,1,11,36,36,14,1,99.0,2.2199999999999998,2019,0.0002937428,-8.132806003444593,35.6,1.5
2022-07-26 00:00:00,402,cinch,39171,3507,0,2,15,24,22,25,13,101.0,2.09,2019,3.39922e-05,-10.289379471431722,25.4,1.5
2022-07-25 00:00:00,401,elope,39228,3339,0,4,22,32,26,13,2,99.0,2.0599999999999996,2019,2.65247e-05,-10.537434183613012,38.8,1.5
2022-07-24 00:00:00,400,power,39813,3401,2,6,19,29,24,15,4,99.0,2.005,2019,0.0337360931,-3.389187002878418,30.5,1.0
2022-07-23 00:00:00,399,midge,36769,3111,0,2,18,39,28,10,2,99.0,2.0799999999999996,2019,4.5636e-05,-9.99481367923015,28.4,1.0
2022-07-22 00:00:00,398,tryst,43099,3665,0,3,26,41,23,6,1,100.0,2.0,2019,4.54531e-05,-9.998829532846083,32.5,1.5
2022-07-21 00:00:00,397,aphid,39086,3367,0,6,24,36,23,9,2,100.0,1.995,2019,4.25858e-05,-10.063989693590187,27.5,1.0
2022-07-20 00:00:00,396,trite,42237,3685,0,4,14,22,22,23,15,100.0,2.005,2019,5.49202e-05,-9.809629335410538,43.900000000000006,1.5
2022-07-19 00:00:00,395,angry,39667,3358,0,5,27,38,21,7,1,99.0,1.9549999999999998,2019,0.0040673723,-5.504758114569821,24.9,1.0
2022-07-18 00:00:00,394,flock,42574,3548,0,4,22,37,27,9,1,100.0,2.06,2019,0.0006265652,-7.375257718811638,17.27,1.0
2022-07-17 00:00:00,393,wacky,39611,3345,0,3,18,39,27,10,2,99.0,2.065,2019,3.38541e-05,-10.293450443341037,16.169999999999998,1.0
2022-07-16 00:00:00,392,roomy,38769,3280,0,2,17,41,28,10,2,100.0,2.105,2019,4.49289e-05,-10.010429317710285,25.4,1.5
2022-07-15 00:00:00,391,wedge,39234,3353,0,2,11,32,37,17,2,101.0,2.2699999999999996,2019,0.0004020111,-7.819030857786157,34.099999999999994,1.5
2022-07-14 00:00:00,390,liver,40549,3388,0,4,16,26,25,20,8,99.0,2.065,2019,0.0023873662,-6.0375645290646105,30.68,1.0
2022-07-13 00:00:00,389,bland,46246,3727,0,7,31,38,18,4,0,98.0,1.865,2019,0.0002998704,-8.112160176646956,24.7,1.0
2022-07-12 00:00:00,388,night,46910,3870,1,8,27,27,17,13,7,100.0,1.88,2019,0.0259609996,-3.651159882494649,30.9,1.0
2022-07-11 00:00:00,387,madam,40545,3430,0,3,13,35,34,14,2,101.0,2.2049999999999996,2019,0.000766837,-7.173236295479068,25.499999999999996,1.5
2022-07-10 00:00:00,386,berth,41785,3494,0,7,24,35,24,9,1,100.0,2.005,2019,0.0001724631,-8.665327257418996,35.4,1.0
2022-07-09 00:00:00,385,stead,47094,3933,1,6,20,27,28,16,3,101.0,2.1,2019,0.0002493792,-8.29653592835671,40.599999999999994,1.0
2022-07-08 00:00:00,384,voice,42806,3484,1,5,24,35,25,9,1,100.0,2.0149999999999997,2019,0.0207437341,-3.8755110489922155,30.98,1.0
2022-07-07 00:00:00,383,agape,43407,3671,0,2,18,36,27,15,3,101.0,2.15,2019,0.0001087672,-9.12630073958206,33.0,1.5
2022-07-06 00:00:00,382,fluff,47344,4049,0,0,4,25,44,23,4,100.0,2.37,2019,8.42854e-05,-9.381301898940333,13.399999999999999,1.5
2022-07-05 00:00:00,381,field,44578,3604,1,6,25,36,23,9,1,101.0,2.01,2019,0.0157946829,-4.148081920903023,30.2,1.0
2022-07-04 00:00:00,380,sever,42645,3591,0,2,13,27,29,21,7,99.0,2.145,2019,0.0001221246,-9.010468722939342,38.68,1.5
